SURVEY_DATE	PRODUCT_ID	PRODUCT_NAME	PRICE	VAT	EXCISE	NET	CHANGE
14.11.2005	5	LPG	606.56	101.09	156.62	348.85	2.09
14.11.2005	6	Residual fuel oil	686.04	62.37	166.84	456.83	0.46
14.11.2005	8	Heavy fuel oil	345.84	0	31.39	314.45	2.15
21.11.2005	1	Euro-Super 95	1226.62	204.44	564	458.18	-19.33
21.11.2005	2	Automotive gas oil	1118.46	186.41	413	519.05	-19.87
21.11.2005	3	Heating gas oil	1090.86	181.81	403.21	505.84	-1.08
21.11.2005	5	LPG	625.92	104.32	156.62	364.98	19.36
21.11.2005	6	Residual fuel oil	683.43	62.13	166.84	454.46	-2.61
21.11.2005	8	Heavy fuel oil	351.99	0	31.39	320.6	6.15
28.11.2005	1	Euro-Super 95	1226.19	204.36	564	457.83	-0.43
28.11.2005	2	Automotive gas oil	1118.46	186.41	413	519.05	0
28.11.2005	3	Heating gas oil	1074.63	179.1	403.21	492.32	-16.23
28.11.2005	5	LPG	629	104.83	156.62	367.55	3.08
28.11.2005	6	Residual fuel oil	687.79	62.53	166.84	458.42	4.36
28.11.2005	8	Heavy fuel oil	337.54	0	31.39	306.15	-14.45
5.12.2005	1	Euro-Super 95	1207.21	201.2	564	442.01	-18.98
5.12.2005	2	Automotive gas oil	1108.09	184.68	413	510.41	-10.37
5.12.2005	3	Heating gas oil	1084.77	180.79	403.21	500.77	10.14
5.12.2005	5	LPG	636.75	106.13	156.62	374	7.75
5.12.2005	6	Residual fuel oil	680.99	61.91	166.84	452.24	-6.8
5.12.2005	8	Heavy fuel oil	328.18	0	31.39	296.79	-9.36
12.12.2005	1	Euro-Super 95	1214.49	202.42	564	448.07	7.28
12.12.2005	2	Automotive gas oil	1114.85	185.81	413	516.04	6.76
12.12.2005	3	Heating gas oil	1087.86	181.31	403.21	503.34	3.09
12.12.2005	5	LPG	636.75	106.13	156.62	374	0
12.12.2005	6	Residual fuel oil	686.23	62.38	166.84	457.01	5.24
12.12.2005	8	Heavy fuel oil	352.95	0	31.39	321.56	24.77
19.12.2005	1	Euro-Super 95	1228.03	204.67	564	459.36	13.54
19.12.2005	2	Automotive gas oil	1128.36	188.06	413	527.3	13.51
19.12.2005	3	Heating gas oil	1095.41	182.57	403.21	509.63	7.55
19.12.2005	5	LPG	637.51	106.25	156.62	374.64	0.76
19.12.2005	6	Residual fuel oil	690.18	62.74	166.84	460.6	3.95
19.12.2005	8	Heavy fuel oil	351.14	0	31.39	319.75	-1.81
2.01.2006	1	Euro-Super 95	1217.22	202.87	564	450.35	-10.81
2.01.2006	2	Automotive gas oil	1117.79	186.3	413	518.49	-10.57
2.01.2006	3	Heating gas oil	1083.07	180.51	403.21	499.35	-12.34
2.01.2006	5	LPG	637.51	106.25	156.62	374.64	0
2.01.2006	6	Residual fuel oil	678.95	61.72	166.84	450.39	-11.23
2.01.2006	8	Heavy fuel oil	346.67	0	31.39	315.28	-4.47
9.01.2006	1	Euro-Super 95	1255.71	209.28	564	482.43	38.49
9.01.2006	2	Automotive gas oil	1155.76	192.63	413	550.13	37.97
9.01.2006	3	Heating gas oil	1107.53	184.59	403.21	519.73	24.46
9.01.2006	5	LPG	664	110.67	156.62	396.71	26.49
9.01.2006	6	Residual fuel oil	691.96	62.91	166.84	462.21	13.01
9.01.2006	8	Heavy fuel oil	361.94	0	31.39	330.55	15.27
16.01.2006	1	Euro-Super 95	1259.7	209.95	564	485.75	3.99
16.01.2006	2	Automotive gas oil	1157.03	192.84	413	551.19	1.27
16.01.2006	3	Heating gas oil	1102.09	183.68	403.21	515.2	-5.44
16.01.2006	5	LPG	669.73	111.62	156.62	401.49	5.73
16.01.2006	6	Residual fuel oil	691.8	62.89	166.84	462.07	-0.16
16.01.2006	8	Heavy fuel oil	361.72	0	31.39	330.33	-0.22
23.01.2006	1	Euro-Super 95	1260.08	210.01	564	486.07	0.38
23.01.2006	2	Automotive gas oil	1156.96	192.83	413	551.13	-0.07
23.01.2006	3	Heating gas oil	1116.32	186.05	403.21	527.06	14.23
